fung_name,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc
Thermus sp,3020,787,488,355,731,311,326,130,470,123,1327,552,111,644,6,154,582,795,658,321,441,85,3,129,747,203,196,1064,1067,57,576,38,1134,0,692,1028,3,511,510,260,297,1284,1747,2,0,138,2145,578,556,569,760,539,304,211,291,802,767,79,138,421,75,453,124,1460,536,193,627,938,7,70,8,1562
Deinococcus geothermalis,3859,1949,997,174,185,1423,674,501,589,220,1249,888,41,921,1095,684,398,2401,1224,427,1101,584,690,1386,321,1838,427,891,982,60,208,487,794,278,871,1004,7,1775,781,948,620,2143,2881,1123,2,891,3619,779,484,319,466,758,704,403,391,1013,809,221,334,1173,105,891,363,1075,929,1245,1466,830,584,438,874,1168
Unclassified Anoxybacillaceae,2363,2333,602,945,1308,799,729,426,375,155,1792,370,85,1154,1070,442,305,1003,983,527,1355,1004,628,863,790,1705,552,1019,1165,36,488,172,294,259,1156,2088,24,2202,1052,576,887,2467,954,1093,0,1297,2230,1962,1654,431,735,1494,750,318,628,746,1363,369,340,1471,235,903,736,973,3060,883,2579,533,1144,280,1450,631
Escherichia sp,1812,233,93,298,264,871,828,295,536,153,1037,604,49,287,701,441,554,1666,913,107,1269,562,1325,542,1097,649,423,1069,1085,23,492,294,980,266,552,455,6,933,270,417,693,872,760,353,0,124,2995,914,634,358,148,412,179,227,372,729,1261,135,86,968,24,38,499,874,1345,1147,1055,578,483,344,268,618
Thermoanaerobacterium sp,1878,651,294,292,740,85,411,651,235,144,544,445,109,497,486,576,339,1187,1013,321,759,504,463,810,431,653,588,2506,944,11,175,112,342,117,3032,1057,10,578,283,604,780,2601,3148,1137,0,340,2080,1350,618,290,718,256,537,314,339,1700,1115,151,128,842,178,604,289,1196,1231,648,2539,134,387,398,180,611
Aeribacillus composti ,1100,758,554,146,1649,563,410,212,468,326,955,1060,153,229,1346,742,728,1414,766,662,855,447,517,444,55,786,347,911,1187,35,875,241,1096,255,322,772,8,972,685,1596,2850,1048,875,367,0,78,2445,583,245,474,886,1078,711,176,812,2120,908,230,322,327,100,463,545,1520,874,786,753,358,1072,462,220,902
Geobacillus stearothermophilus,1140,117,115,316,436,349,284,416,305,303,60,13,46,433,350,147,224,120,517,63,321,153,87,540,558,995,143,541,847,26,189,203,68,15,169,41,5,479,225,118,240,467,663,255,0,660,2258,372,291,305,100,573,208,93,231,705,230,120,208,439,187,233,0,1187,604,261,931,460,401,124,484,983
Caldicellulosiruptor acetigenus,983,0,0,2,0,0,0,0,29,84,0,0,6,116,0,0,0,352,0,50,0,0,0,0,0,16,0,0,236,9,24,5,54,32,0,0,4,113,0,39,238,76,123,0,0,0,0,0,108,0,0,0,0,35,121,105,0,0,0,0,29,0,0,262,0,0,308,0,0,50,0,0
Weizmannia coagulans,915,0,326,24,69,81,0,0,108,591,3,489,15,0,2,131,74,149,203,22,224,410,277,562,176,0,97,1016,993,0,109,88,808,0,4,5,16,392,268,151,91,845,912,166,2,676,758,90,602,0,224,501,0,4,2,115,680,59,173,873,20,243,0,0,286,1263,1425,60,5,51,0,499
Meiothermus silvanus,743,641,910,4,649,283,0,0,115,334,338,0,24,163,2,192,117,0,622,6,448,203,290,0,157,382,210,984,652,10,0,52,2,85,378,868,0,0,0,141,400,5,792,412,0,328,2890,167,283,92,104,203,133,144,220,985,227,197,104,404,167,72,97,304,637,342,1193,373,692,402,335,766
Tetragenococcus halophilus,739,0,43,4,235,361,16,21,114,75,117,1390,0,62,29,363,98,476,418,49,123,0,0,123,201,2,0,51,209,12,98,25,181,233,255,135,3,498,203,0,2,744,465,133,0,0,366,156,112,0,141,0,152,4,859,57,0,0,0,273,59,67,24,160,0,77,0,0,2,116,237,80
Pseudoclavibacter alba,465,70,0,0,0,43,0,0,115,127,0,0,0,0,338,0,0,341,0,0,0,131,0,0,0,0,0,0,359,6,154,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,61,153,2,357,0,103,0,0,95,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0
Rubrobacter radiotolerans,505,0,136,84,330,0,24,55,3,115,301,130,34,0,150,209,82,382,566,0,235,86,106,679,0,172,510,314,95,22,107,45,21,19,162,96,4,0,0,228,345,3,84,139,0,0,1226,3,410,61,104,69,0,114,0,0,236,0,150,0,9,28,98,96,164,143,211,88,319,29,204,206
Brachybacterium sp,439,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,41,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lawsonella sp,276,0,557,106,0,0,0,79,11,0,0,155,0,0,0,0,0,0,156,0,0,169,0,0,0,257,0,252,0,27,59,0,0,0,213,0,0,0,98,0,0,3,0,0,0,0,2,2,4,3,265,0,0,0,0,0,0,0,0,0,3,0,11,311,0,0,702,0,0,46,68,0
JC017 sp,252,14,7200,32738,132,23055,480,178,49,37058,163,16,38,14,626,1179,2,8,11412,1648,26,1270,601,12,101,363,0,17110,9,513,6,36,2476,42,11,186,31,4,1350,25,175,393,50,17369,21,1177,2782,124018,167,6906,183,2618,24,3620,2,9491,168,0,2902,5,22,389,54,8,1627,2,23588,148,133,855,4877,4896
Bacillus thermoamylovorans,223,0,36,149,232,0,256,52,0,0,283,0,20,172,227,0,0,0,166,0,0,52,0,0,0,0,0,87,0,0,0,56,113,0,0,104,0,0,0,224,0,226,174,0,0,180,0,2,0,0,162,437,2,28,0,88,0,65,0,0,25,39,74,154,11,0,0,0,349,0,5,0
Rubrobacter xylanophilus,229,0,0,37,378,0,10,0,0,0,172,315,17,0,3,126,0,0,0,186,178,26,0,0,0,0,106,176,164,4,0,2,286,0,159,3,0,380,122,93,82,68,0,94,0,0,223,0,0,0,244,0,0,0,35,0,0,0,0,0,0,0,0,136,0,0,431,188,0,0,8,0
Unclassified Enterococcaceae,215,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0
Rubrobacter sp,161,139,41,0,0,0,0,54,64,41,0,0,0,0,0,0,0,0,340,0,0,0,63,0,0,0,0,314,0,0,0,0,0,23,87,0,0,0,53,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,2,0,35,68,135,43,0,0,0,0,0,0
Dendrosporobacter quercicolus,157,0,0,0,0,0,109,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,2,133,0,0,693,0,92,0,0,468,0,0,0,10,0,80,0,65,0,0,0,0,0,0,0
Unclassified Anoxybacillaceae,62,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,289,0,103,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bacteria,17,4,2234,11907,0,3840,114,0,6,8811,11,6,21,0,2,4,57,7,3204,221,8,336,0,4,0,0,0,2328,254,296,0,43,606,0,0,5,10,2,174,69,122,416,27,16642,7,0,20,41082,0,3217,40,550,22,1666,0,3949,36,0,756,2,4,5,0,0,93,3,11286,2,93,67,3001,886
Komagataeibacter sp,11,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,6,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Unclassified Enterobacteriaceae,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4,26,0,4,0,145,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,8,7,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,2,0,190,0
Komagataeibacter saccharivorans,6,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Gluconobacter sp,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium sp,2,0,69,451,2,950,93,0,0,227,0,0,0,0,0,0,0,0,187,2,0,45,0,0,0,0,0,123,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,1308,0,338,2,0,0,0,0,302,4,0,136,0,0,54,0,0,0,0,813,0,0,25,747,0
Sphingomonas sp,2,0,0,392,0,608,0,0,26,416,0,0,0,0,0,0,0,0,309,76,0,338,0,0,0,68,0,137,0,67,0,0,266,109,0,0,0,0,0,0,0,0,0,869,0,0,0,1916,0,289,0,0,0,122,0,465,5,0,218,0,0,0,0,292,0,0,0,0,6,0,202,74
Caldicellulosiruptor sp,0,368,175,0,69,0,97,35,37,0,338,98,28,42,49,0,129,0,112,4,13,0,0,227,96,538,148,17,824,0,15,0,159,0,0,0,0,0,163,115,232,300,379,65,0,0,498,0,0,42,262,83,119,0,292,0,998,0,94,158,16,63,97,0,105,0,177,0,71,453,0,0
Meiothermus sp,0,248,120,0,0,0,229,0,2,0,330,382,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,100,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,149,0,316,185,0,41,0,0,83,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Chloroflexia,0,179,0,169,144,0,69,0,0,0,0,0,0,0,138,0,0,0,0,39,0,0,156,0,0,0,0,199,208,0,0,0,0,0,56,0,0,324,0,0,0,0,244,0,0,0,594,0,0,0,98,0,0,109,0,0,128,77,0,0,0,68,0,0,215,0,0,0,2,0,0,0
Thermobaculum terrenum,0,158,0,0,0,0,0,70,0,0,0,189,0,0,0,0,64,239,0,4,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,140,0,124,0,106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,97,0,249
Staphylococcus sp,0,0,331,0,0,0,0,0,0,164,0,0,6,0,112,0,0,0,68,0,2,0,18,0,383,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,270,0,0,0,0,0,138,0,45,0,0,25,0,0,306,0,0,0,0,0,27,0,0,0,684,149,116,45,0,0
Neoactinobaculum massilliense,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calditerricola satsumensis,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
Ochrobactrum pseudogrignonensis,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium acnes,0,0,60,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
Corynebacterium sp,0,0,42,0,0,0,0,0,0,0,0,0,15,97,0,0,0,0,0,1,0,0,0,0,305,143,0,156,2,0,0,0,67,0,0,0,2,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,22,0,170
Streptococcus sp,0,0,35,0,0,0,271,0,71,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,49,0,384,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium granulosum,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
